,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LON,GEO_LAT
376,Tuesday,lowry-field,04:00:00,-104.88444799999999,39.723599
377,Tuesday,south-park-hill,04:00:00,-104.92543,39.7407557
378,Monday,baker,16:00:00,-105.0090683,39.7253655
379,Monday,east-colfax,04:00:00,-104.8854788,39.7398565
380,Monday,valverde,04:00:00,-105.0247476,39.7231541
381,Tuesday,montbello,04:00:00,-104.8422759,39.7805605
382,Wednesday,north-park-hill,12:00:00,-104.9137358,39.7588525
383,Thursday,montbello,08:00:00,-104.8246444,39.7906621
384,Monday,montbello,08:00:00,-104.8373139,39.7807715
385,Thursday,five-points,12:00:00,-104.9886405,39.7545595
386,Tuesday,five-points,12:00:00,-104.9916796,39.7538342
387,Wednesday,west-highland,04:00:00,-105.0320509,39.7618805
388,Thursday,cheesman-park,16:00:00,-104.9625756,39.7389601
389,Wednesday,westwood,08:00:00,-105.0367943,39.7093796
390,Tuesday,lincoln-park,12:00:00,-104.996475,39.7368617
391,Sunday,five-points,04:00:00,-104.9838029,39.7594524
392,Wednesday,gateway-green-valley-ranch,04:00:00,-104.7701569,39.7850496
393,Tuesday,north-capitol-hill,16:00:00,-104.9798064,39.7424664
394,Saturday,north-capitol-hill,04:00:00,-104.9829635,39.7416073
395,Friday,gateway-green-valley-ranch,04:00:00,-104.749255,39.7810995
396,Friday,athmar-park,12:00:00,-105.0246785,39.7008181
397,Friday,five-points,04:00:00,-104.9763563,39.7506649
398,Friday,capitol-hill,04:00:00,-104.975222,39.7392231
399,Thursday,east-colfax,04:00:00,-104.8868016,39.7398579
400,Sunday,speer,04:00:00,-104.979456,39.7173373
401,Friday,east-colfax,04:00:00,-104.8952005,39.7464956
402,Friday,capitol-hill,16:00:00,-104.9798609,39.73369
403,Thursday,capitol-hill,12:00:00,-104.98211599999999,39.7398383
404,Friday,five-points,16:00:00,-104.9734172,39.7593817
405,Wednesday,city-park-west,04:00:00,-104.9708166,39.7401175
406,Friday,chaffee-park,04:00:00,-105.0247901,39.7877279
407,Sunday,hampden,04:00:00,-104.8924159,39.6537332
408,Saturday,villa-park,04:00:00,-105.053575,39.7333476
409,Saturday,cbd,04:00:00,-104.9922117,39.7451944
410,Saturday,west-colfax,04:00:00,-105.0485913,39.7375618
411,Monday,city-park-west,08:00:00,-104.9730413,39.7412476
412,Saturday,five-points,04:00:00,-104.9932885,39.7541568
413,Monday,harvey-park,08:00:00,-105.0389146,39.6815121
414,Wednesday,platt-park,12:00:00,-104.9870351,39.6963937
415,Monday,harvey-park,12:00:00,-105.0250596,39.6786348
416,Thursday,east-colfax,16:00:00,-104.8875769,39.7398455
417,Thursday,capitol-hill,16:00:00,-104.9811047,39.7400261
418,Thursday,five-points,04:00:00,-104.9863632,39.7537233
419,Thursday,villa-park,08:00:00,-105.0489933,39.7270352
420,Thursday,northeast-park-hill,16:00:00,-104.9290811,39.7657581
421,Saturday,east-colfax,04:00:00,-104.8949091,39.7398752
422,Friday,university-park,12:00:00,-104.9414607,39.6706243
423,Saturday,overland,08:00:00,-104.9921053,39.6778793
424,Saturday,bear-valley,12:00:00,-105.0543336,39.6553565
425,Wednesday,baker,04:00:00,-104.988863,39.7186716
